Merge Sorts
n, average time in nano seconds for random arrays
10,164054
15,72913
20,322349
25,886952
30,1841294
35,4862614
40,9527954
45,12421045
50,26306193
55,42166152
60,71516314
65,122891781
70,187020506
75,314476620
80,463231593
85,719324795
90,1032064283
95,1437420719
100,2091347753
n, average time in nano seconds for ordered arrays
10,12073
15,33615
20,406862
25,395498
30,903287
35,2904138
40,5949369
45,11976937
50,22417016
55,38679419
60,63120408
65,101969248
70,192390199
75,318993372
80,465383084
85,713380398
90,1016586013
95,1405288021
100,2043588355
n, average time in nano seconds for reverse arrays
10,7970
15,33615
20,138014
25,387844
30,952290
35,2727458
40,6046586
45,12257148
50,21901968
55,39527153
60,62758525
65,103438322
70,200581017
75,313449839
80,465432561
85,711410400
90,1046941098
95,1404723575
100,2041515063
Quick Sorts
n, average time in nano seconds for random arrays
10,9390
15,6470
20,10021
25,21305
30,14756
35,18228
40,20201
45,23199
50,7575
55,5603
60,5366
65,5760
70,8206
75,6865
80,7733
85,8285
90,9153
95,9469
100,13257
n, average time in nano seconds for ordered arrays
10,631
15,552
20,1578
25,2525
30,3393
35,3945
40,3314
45,2603
50,2840
55,4418
60,2840
65,4577
70,5050
75,5445
80,5760
85,4971
90,5602
95,5287
100,5918
n, average time in nano seconds for reverse arrays
10,789
15,710
20,1183
25,1262
30,1341
35,1893
40,2130
45,2525
50,3551
55,2841
60,3314
65,3156
70,3945
75,5365
80,4892
85,6470
90,4971
95,5681
100,5523
